pos,White,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican
20070.0,0.8411638682676499,0.004434258382741268,0.037367345921976984,0.05859199840565991,0.02252005380897813,0.017687210403069104,0.013153305764535897,0.005081959045388869
20080.0,0.8412429659877496,0.004432050196703351,0.03734873761266869,0.05856282057666451,0.022508839201234997,0.017678402469996513,0.013146755639659379,0.005079428315322942
20090.0,0.8413219849683938,0.004429844208849734,0.0373301478273854,0.0585336717933403,0.022497635757304266,0.017669603304962422,0.01314021203523966,0.005076900104524414
20100.0,0.8414009253270982,0.004427640415899706,0.037311576538480676,0.058504552012337695,0.022486443460524353,0.01766081289488085,0.013133674941545197,0.005074374409233372
20110.0,0.8414797871811447,0.004425438814579086,0.037293023718363086,0.05847546119039332,0.02247526229426682,0.017652031226691862,0.013127144348863806,0.00507185122569738
20120.0,0.8415585706475821,0.004423239401620198,0.03727448933949605,0.058446399284329806,0.022464092241936285,0.017643258287361463,0.01312062024750261,0.005069330550171463
20130.0,0.8416372758432269,0.00442104217376186,0.0372559733743977,0.058417366251055584,0.022452933286970345,0.017634494063881574,0.013114102627787989,0.0050668123789180865
20140.0,0.8417159028846631,0.004418847127749367,0.03723747579564073,0.05838836204756467,0.02244178541283948,0.01762573854326995,0.013107591480065538,0.00506429670820714
20150.0,0.8417944518882438,0.004416654260334474,0.037218996575852314,0.05835938663093643,0.022430648603046995,0.017616991712570095,0.013101086794700015,0.005061783534315915
20160.0,0.8418729229700908,0.004414463568275383,0.037200535687713907,0.0583304399583354,0.022419522841128914,0.017608253558851247,0.013094588562075293,0.005059272853529091
20170.0,0.8419513162460959,0.004412275048336721,0.03718209310396113,0.05830152198701106,0.022408408110653907,0.01759952406920827,0.013088096772594319,0.005056764662138714
20180.0,0.8420296318319211,0.0044100886972895294,0.03716366879738368,0.05827263267429761,0.02239730439522323,0.017590803230761606,0.013081611416679054,0.00505425895644418
20190.0,0.8421078698429993,0.004407904511911248,0.03714526274082512,0.05824377197761379,0.022386211678470606,0.017582091030657224,0.013075132484770442,0.005051755732752216
20200.0,0.8421860303945349,0.004405722488985694,0.03712687490718281,0.058214939854462654,0.022375129944062176,0.01757338745606653,0.013068659967328351,0.005049254987376862
20210.0,0.8422641136015041,0.004403542625303053,0.037108505269407746,0.05818613626243135,0.022364059175696404,0.017564692494186334,0.013062193854831528,0.005046756716639454
20220.0,0.8423421195786559,0.004401364917659858,0.03709015380050443,0.05815736115919094,0.022352999357104,0.01755600613223876,0.013055734137777558,0.005044260916868602
20230.0,0.8424200484405121,0.0043991893628589785,0.03707182047353072,0.05812861450249617,0.022341950472047848,0.017547328357471206,0.013049280806682814,0.005041767584400178
20240.0,0.8424979003013685,0.004397015957709599,0.037053505261597744,0.058099896250185266,0.022330912504322908,0.017538659157156265,0.013042833852082407,0.005039276715577293
20250.0,0.8425756752752951,0.004394844699027209,0.037035208137869736,0.05807120636017975,0.02231988543775616,0.017529998518591675,0.013036393264530146,0.0050367883067502835
20260.0,0.8426533734761364,0.004392675583633582,0.03701692907556389,0.05804254479048418,0.022308869256206506,0.01752134642910024,0.01302995903459849,0.00503430235427669
20270.0,0.8427309950175127,0.004390508608356766,0.036998668047950274,0.05801391149918603,0.0222978639435647,0.017512702876029795,0.013023531152878496,0.005031818854521237
20280.0,0.8428085400128199,0.0043883437700310635,0.03698042502835166,0.0579853064444554,0.022286869483753267,0.017504067846753117,0.013017109609979784,0.005029337803855826
20290.0,0.8428860085752304,0.004386181065497019,0.03696219999014341,0.05795672958454487,0.02227588586072643,0.01749544132866788,0.013010694396530482,0.0050268591986595045
20300.0,0.8429634008176937,0.004384020491601399,0.03694399290675336,0.057928180877789275,0.022264913058470025,0.01748682330919659,0.013004285503177183,0.005024383035318457
20310.0,0.8430407168529368,0.004381862045197184,0.036925803751661664,0.057899660282605486,0.022253951061001427,0.01747821377578652,0.012997882920584904,0.005021909310225986
20320.0,0.8431179567934649,0.004379705723143546,0.03690763249840067,0.05787116775749225,0.02224299985236947,0.01746961271590965,0.012991486639437036,0.005019438019782491
