pos,ndcg,P$@$k
17800.0,0.9997005392043877,0.9806190663445874
17900.0,0.9997476845959113,0.9835204737165522
18000.0,0.9998116414572285,0.9865007499583357
18100.0,0.9998784908947665,0.9892823600906028
18200.0,0.9998789735871565,0.991758694577221
18300.0,0.999921153311665,0.9959018632861593
18400.0,0.9999740592825945,0.999184826911581
18500.0,0.9999741577959605,0.995892113939787
18600.0,0.9999696825701295,0.9934412128380194
18700.0,0.999957042136485,0.9904283193412117
18800.0,0.9999572031746545,0.9872879102175416
18900.0,0.9999573629239161,0.9838103804031533
19000.0,0.9999575214001568,0.9808957423293511
19100.0,0.9999496221116456,0.9809957593843255
19200.0,0.9998930290379066,0.982032185823655
19300.0,0.9998635129018562,0.984664007046267
19400.0,0.9998289066604206,0.9878872223081284
19500.0,0.999839781997517,0.9902056304804882
19600.0,0.9998763136161536,0.9921942758022549
19700.0,0.9998991779308054,0.9942642505456576
19800.0,0.9999561007856426,0.9988889450027776
19900.0,0.9999750381336615,0.9978895532887795
20000.0,0.9999509384473897,0.9949002549872507
20100.0,0.9999511016722894,0.9924879359235859
20200.0,0.9999512637335946,0.989653977525865
20300.0,0.9999500042047409,0.989163095414019
20400.0,0.99992606086971,0.992059212783687
20500.0,0.9999101873863361,0.9941466269938052
20600.0,0.9999358083263215,0.9963108586961797
20700.0,0.999975560050767,0.9994686247041206
20800.0,0.9999569060380301,0.9969712994567569
20900.0,0.999955085354533,0.9944978709152672
21000.0,0.9999593844879849,0.9946669206228275
21100.0,0.9999415141449458,0.9974408795791668
21200.0,0.9999758759613477,0.999292486203481
21300.0,0.9999759422739992,0.9969015539176564
21400.0,0.9999458617710822,0.9979907480958834
21500.0,0.999972775953298,0.9990698107064788
21600.0,0.9999603137449073,0.9990741169390306
21700.0,0.9999761609565544,0.9992166259619373
